sample.id,body-site,year,month,day,subject,Antibiotic,Days_since_infection,Infection_status,light,all_group,Run,group_run
T282E4BL,bacteria in colon/faeces,2024,8,19,Run2_subject_8,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282E5BL,bacteria in colon/faeces,2024,8,19,Run2_subject_9,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282G1BL,bacteria in colon/faeces,2024,8,19,Run2_subject_10,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282G2BL,bacteria in colon/faeces,2024,8,19,Run2_subject_11,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282G3BL,bacteria in colon/faeces,2024,8,19,Run2_subject_12,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282G4BL,bacteria in colon/faeces,2024,8,19,Run2_subject_13,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282G5BL,bacteria in colon/faeces,2024,8,19,Run2_subject_14,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282F1BL,bacteria in colon/faeces,2024,8,19,Run2_subject_15,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282F2BL,bacteria in colon/faeces,2024,8,19,Run2_subject_16,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282F3BL,bacteria in colon/faeces,2024,8,19,Run2_subject_17,No,-14,Uninfected,Baseline,Uni_n14_No_anti,Run2,Uni_n14_No_anti_Run2
T282B1d0,bacteria in colon/faeces,2024,9,2,Run2_subject_1,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282B2d0,bacteria in colon/faeces,2024,9,2,Run2_subject_2,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282B3d0,bacteria in colon/faeces,2024,9,2,Run2_subject_3,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282B4d0,bacteria in colon/faeces,2024,9,2,Run2_subject_4,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282B5d0,bacteria in colon/faeces,2024,9,2,Run2_subject_5,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282E1d0,bacteria in colon/faeces,2024,9,2,Run2_subject_6,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282E3d0,bacteria in colon/faeces,2024,9,2,Run2_subject_7,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282E4d0,bacteria in colon/faeces,2024,9,2,Run2_subject_8,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282E5d0,bacteria in colon/faeces,2024,9,2,Run2_subject_9,Yes,0,Uninfected,Constantlight,Uni_Const_0_Anti,Run2,Uni_Const_0_Anti_Run2
T282G1d0,bacteria in colon/faeces,2024,9,2,Run2_subject_10,Yes,0,Uninfected,Typicallight,Uni_Typic_0_Anti,Run2,Uni_Typic_0_Anti_Run2
T282G2d0,bacteria in colon/faeces,2024,9,2,Run2_subject_11,Yes,0,Uninfected,Typicallight,Uni_Typic_0_Anti,Run2,Uni_Typic_0_Anti_Run2
T282G3d0,bacteria in colon/faeces,2024,9,2,Run2_subject_12,Yes,0,Uninfected,Typicallight,Uni_Typic_0_Anti,Run2,Uni_Typic_0_Anti_Run2
T282G4d0,bacteria in colon/faeces,2024,9,2,Run2_subject_13,Yes,0,Uninfected,Typicallight,Uni_Typic_0_Anti,Run2,Uni_Typic_0_Anti_Run2
T282G5d0,bacteria in colon/faeces,2024,9,2,Run2_subject_14,Yes,0,Uninfected,Typicallight,Uni_Typic_0_Anti,Run2,Uni_Typic_0_Anti_Run2
T282F1d0,bacteria in colon/faeces,2024,9,2,Run2_subject_15,Yes,0,Uninfected,Typicallight,Uni_Typic_0_Anti,Run2,Uni_Typic_0_Anti_Run2
T282F2d0,bacteria in colon/faeces,2024,9,2,Run2_subject_16,Yes,0,Uninfected,Typicallight,Uni_Typic_0_Anti,Run2,Uni_Typic_0_Anti_Run2
T282F3d0,bacteria in colon/faeces,2024,9,2,Run2_subject_17,Yes,0,Uninfected,Typicallight,Uni_Typic_0_Anti,Run2,Uni_Typic_0_Anti_Run2
T282B136h,bacteria in colon/faeces,2024,9,3,Run2_subject_1,Yes,1.5,Uninfected,Constantlight,Uni_Const_1.5_Anti,Run2,Uni_Const_1.5_Anti_Run2
T282B236h,bacteria in colon/faeces,2024,9,3,Run2_subject_2,Yes,1.5,Uninfected,Constantlight,Uni_Const_1.5_Anti,Run2,Uni_Const_1.5_Anti_Run2
T282B336h,bacteria in colon/faeces,2024,9,3,Run2_subject_3,Yes,1.5,Uninfected,Constantlight,Uni_Const_1.5_Anti,Run2,Uni_Const_1.5_Anti_Run2
T282B436h,bacteria in colon/faeces,2024,9,3,Run2_subject_4,Yes,1.5,Uninfected,Constantlight,Uni_Const_1.5_Anti,Run2,Uni_Const_1.5_Anti_Run2
T282B536h,bacteria in colon/faeces,2024,9,3,Run2_subject_5,Yes,1.5,Uninfected,Constantlight,Uni_Const_1.5_Anti,Run2,Uni_Const_1.5_Anti_Run2
T282E136h,bacteria in colon/faeces,2024,9,3,Run2_subject_6,Yes,1.5,Infected,Constantlight,Inf_Const_1.5_Anti,Run2,Inf_Const_1.5_Anti_Run2
T282E336h,bacteria in colon/faeces,2024,9,3,Run2_subject_7,Yes,1.5,Infected,Constantlight,Inf_Const_1.5_Anti,Run2,Inf_Const_1.5_Anti_Run2
T282E436h,bacteria in colon/faeces,2024,9,3,Run2_subject_8,Yes,1.5,Infected,Constantlight,Inf_Const_1.5_Anti,Run2,Inf_Const_1.5_Anti_Run2
T282E536h,bacteria in colon/faeces,2024,9,3,Run2_subject_9,Yes,1.5,Infected,Constantlight,Inf_Const_1.5_Anti,Run2,Inf_Const_1.5_Anti_Run2
T282G136h,bacteria in colon/faeces,2024,9,3,Run2_subject_10,Yes,1.5,Uninfected,Typicallight,Uni_Typic_1.5_Anti,Run2,Uni_Typic_1.5_Anti_Run2
T282G236h,bacteria in colon/faeces,2024,9,3,Run2_subject_11,Yes,1.5,Uninfected,Typicallight,Uni_Typic_1.5_Anti,Run2,Uni_Typic_1.5_Anti_Run2
T282G336h,bacteria in colon/faeces,2024,9,3,Run2_subject_12,Yes,1.5,Uninfected,Typicallight,Uni_Typic_1.5_Anti,Run2,Uni_Typic_1.5_Anti_Run2
T282G436h,bacteria in colon/faeces,2024,9,3,Run2_subject_13,Yes,1.5,Uninfected,Typicallight,Uni_Typic_1.5_Anti,Run2,Uni_Typic_1.5_Anti_Run2
T282G536h,bacteria in colon/faeces,2024,9,3,Run2_subject_14,Yes,1.5,Uninfected,Typicallight,Uni_Typic_1.5_Anti,Run2,Uni_Typic_1.5_Anti_Run2
T282F136h,bacteria in colon/faeces,2024,9,3,Run2_subject_15,Yes,1.5,Infected,Typicallight,Inf_Typic_1.5_Anti,Run2,Inf_Typic_1.5_Anti_Run2
T282F236h,bacteria in colon/faeces,2024,9,3,Run2_subject_16,Yes,1.5,Infected,Typicallight,Inf_Typic_1.5_Anti,Run2,Inf_Typic_1.5_Anti_Run2
T282F336h,bacteria in colon/faeces,2024,9,3,Run2_subject_17,Yes,1.5,Infected,Typicallight,Inf_Typic_1.5_Anti,Run2,Inf_Typic_1.5_Anti_Run2
