DB.Class.Key,Symbol.x,Symbol.y
49391386,Ago2,AGO2
49391387,Ago3,AGO3
49391388,Ago4,AGO4
49391389,Gpat4,GPAT4
49391390,Gpat3,GPAT3
49391391,Agrn,AGRN
49391392,Agrp,AGRP
49391393,Agtr1b,AGTR1
49391394,Aplnr,APLNR
49391395,Agxt,AGXT
49391396,Etnppl,ETNPPL
49391397,Ahcyl2,AHCYL2
49391398,Ahr,AHR
49391399,Ahrr,AHRR
49391400,Ahsa1,AHSA1
49391401,Ahsa2,AHSA2P
49391402,Ahsg,AHSG
49391403,Tgfb1,TGFB1
49391404,Naxe,NAXE
49391405,Yjefn3,YJEFN3
49391406,Aicda,AICDA
49391407,Aifm1,AIFM1
49391408,Aif1l,AIF1L
49391409,Slc45a2,SLC45A2
49391410,Crybg1,CRYBG1
49391411,Crybg2,CRYBG2
49391412,Aimp1,AIMP1
49391413,Aipl1,AIPL1
49391414,Wdr75,WDR75
49391415,Wdr55,WDR55
49391416,Ak4,AK4P3
49391417,Ak7,AK7
49391418,Akap1,AKAP1
49391419,Akap12,AKAP12
49391420,Ak9,AK9
49391421,Hsp90aa1,HSP90AA1
49391422,Akr1a1,AKR1A1
49391423,Akr1b1,AKR1B1
49391424,Akr1b8,AKR1B10
49391425,Akr1b10,AKR1B15
49391426,Akr1b7,AKR1B10
49391427,Efna5,EFNA5
49391428,Alas2,ALAS2
49391429,Alas1,ALAS1
49391430,Alcam,ALCAM
49391431,Aldh1b1,ALDH1B1
49391432,Aldh2,ALDH2
49391433,Aldh3a1,ALDH3A1
49391434,Aldh3a2,ALDH3A2
49391435,Aldh3b2,ALDH3B2
49391436,Aldh3b1,ALDH3B1
49391437,Aldh3b3,ALDH3B2
49391438,Aldh9a1,ALDH9A1
49391440,Aldoa,ALDOA
49391442,Aldoc,ALDOC
49391443,Kcnk5,KCNK5
49391444,Rnf121,RNF121
49391445,Cops2,COPS2
49391446,Acvrl1,ACVRL1
49391447,Bmpr1a,BMPR1A
49391448,Tgfbr1,TGFBR1
