Metabolite_set,Metabolite
FA01 Fatty Acids and Conjugates,Adrenic acid
FA01 Fatty Acids and Conjugates,Icosadienoic acid
FA01 Fatty Acids and Conjugates,Sebacic acid
FA01 Fatty Acids and Conjugates,Butyric acid
FA01 Fatty Acids and Conjugates,2-Aminomuconic acid
FA01 Fatty Acids and Conjugates,Arachidic acid
FA01 Fatty Acids and Conjugates,2-Aminoisobutyric acid
FA01 Fatty Acids and Conjugates,Undecanoic acid
FA01 Fatty Acids and Conjugates,3-Propylmalate
FA01 Fatty Acids and Conjugates,Mesaconic acid
FA01 Fatty Acids and Conjugates,Tuberculostearic acid
FA01 Fatty Acids and Conjugates,Norleucine
FA01 Fatty Acids and Conjugates,Tridecanoic acid
FA01 Fatty Acids and Conjugates,5-Amino-2-oxopentanoic acid
FA01 Fatty Acids and Conjugates,Pimelic acid
FA0117 Dicarboxylic acids,Succinic acid
FA0117 Dicarboxylic acids,Glucaric acid
FA0117 Dicarboxylic acids,Azelaic acid
FA0117 Dicarboxylic acids,Traumatic acid
FA0117 Dicarboxylic acids,Itaconic acid
FA0117 Dicarboxylic acids,Sebacic acid
FA0117 Dicarboxylic acids,2-Aminomuconic acid
FA0117 Dicarboxylic acids,3-Propylmalate
FA0117 Dicarboxylic acids,Mesaconic acid
FA0117 Dicarboxylic acids,Pimelic acid
C00042  Butanedionic acid,Succinic acid
C00864  Pantothenic acid (Vitamin B5),Pantothenic acid
Risk category of Japanese OTC drugs [BR:br08312(D07413)],Pantothenic acid
Pantothenic acid,Pantothenic acid
D07413  Pantothenic acid (BAN),Pantothenic acid
Therapeutic category of drugs in Japan [BR:br08301(D00031)],Oxidized glutathione
13  Agents affecting sensory organs,Oxidized glutathione
131  Ophthalmic agents,Oxidized glutathione
1319  Others,Oxidized glutathione
D00031  Oxiglutatione (JAN/INN),Oxidized glutathione
2-Oxocarboxylic acids,Oxoglutaric acid
2-Oxocarboxylic acids,Pyruvic acid
C00026  2-Oxoglutarate,Oxoglutaric acid
Common amino acids,Tyrosine
Common amino acids,Glutamic acid
Common amino acids,Tryptophan
Common amino acids,Serine
Common amino acids,Threonine
Common amino acids,Methionine
C00082  Tyrosine (Tyr),Tyrosine
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00022)],Tyrosine
D00022  L-Tyrosine,Tyrosine
C00025  Glutamic acid (Glu),Glutamic acid
Hormones and transmitters,Glutamic acid
Hormones and transmitters,gamma-Aminobutyric acid
Hormones and transmitters,Dopamine
Hormones and transmitters,Dopa
Neurotransmitters,Glutamic acid
Neurotransmitters,gamma-Aminobutyric acid
Neurotransmitters,Dopamine
Neurotransmitters,Dopa
C00025  Glutamate,Glutamic acid
Risk category of Japanese OTC drugs [BR:br08312(D00007)],Glutamic acid
Glutamic acid,Glutamic acid
D00007  Glutamic acid (USP),Glutamic acid
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00007)],Glutamic acid
D00007  L-Glutamic acid,Glutamic acid
Aldoses,Glucose
Aldoses,Erythrose
C00031  D-Glucose,Glucose
C00031  D-Glucose,Glucose
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00009)],Glucose
B BLOOD AND BLOOD FORMING ORGANS,Glucose
B BLOOD AND BLOOD FORMING ORGANS,Mannitol
B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,Glucose
B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,Mannitol
B05C IRRIGATING SOLUTIONS,Glucose
B05C IRRIGATING SOLUTIONS,Mannitol
B05CX Other irrigating solutions,Glucose
B05CX Other irrigating solutions,Mannitol
B05CX01 Glucose,Glucose
D00009  Glucose (JP18) &lt;JP&gt;,Glucose
D00009  Glucose (JP18) &lt;JP&gt;,Glucose
D00009  Glucose (JP18) &lt;JP&gt;,Glucose
V VARIOUS,Glucose
V VARIOUS,Acetylcysteine
V VARIOUS,Methionine
V VARIOUS,Fructose
V VARIOUS,Mannitol
V VARIOUS,Glutathione
V04 DIAGNOSTIC AGENTS,Glucose
V04 DIAGNOSTIC AGENTS,Mannitol
V04C OTHER DIAGNOSTIC AGENTS,Glucose
V04C OTHER DIAGNOSTIC AGENTS,Mannitol
V04CA Tests for diabetes,Glucose
V04CA02 Glucose,Glucose
V06 GENERAL NUTRIENTS,Glucose
V06 GENERAL NUTRIENTS,Fructose
V06D OTHER NUTRIENTS,Glucose
V06D OTHER NUTRIENTS,Fructose
V06DC Carbohydrates,Glucose
V06DC Carbohydrates,Fructose
V06DC01 Glucose,Glucose
Therapeutic category of drugs in Japan [BR:br08301(D00009)],Glucose
"32  Nutrients, tonics",Glucose
323  Saccharide preparations,Glucose
3231  Glucoses,Glucose
D00009  Glucose (JP18); Purified glucose (JP18),Glucose
Risk category of Japanese OTC drugs [BR:br08312(D00009)],Glucose
Glucose,Glucose
D00009  Glucose (JP18),Glucose
964  Saccharide preparations and blood substitutes,Glucose
9641  Dextrose and preparations,Glucose
Nucleotide sugars [br08020.html],Glucose
Nucleotide sugars [br08020.html],Rhamnose
Nucleotide sugars [br08020.html],N-Acetylneuraminic acid
Nucleotide sugars [br08020.html],Glucuronic acid
Nucleotide sugars [br08020.html],UDP-glucose
Nucleotide sugars [br08020.html],N-Acetyl-D-fucosamine
Nucleotide sugars [br08020.html],N-Acetylmuramate
Nucleotide sugars [br08020.html],N-Acetyl-D-glucosamine
Nucleotide sugars [br08020.html],CMP-N-glycoloylneuraminate
Nucleotide sugars [br08020.html],GDP-L-fucose
Monosaccharides vs nucleotides,Glucose
Monosaccharides vs nucleotides,Rhamnose
Monosaccharides vs nucleotides,N-Acetylneuraminic acid
Monosaccharides vs nucleotides,Glucuronic acid
Monosaccharides vs nucleotides,UDP-glucose
Monosaccharides vs nucleotides,N-Acetyl-D-fucosamine
Monosaccharides vs nucleotides,N-Acetylmuramate
Monosaccharides vs nucleotides,N-Acetyl-D-glucosamine
Monosaccharides vs nucleotides,CMP-N-glycoloylneuraminate
Monosaccharides vs nucleotides,GDP-L-fucose
C00031,Glucose
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00009)],Glucose
D00009  Glucose,Glucose
D00009  Purified glucose,Glucose
D00009  Glucose injection,Glucose
Nucleic acids,Adenosine
Nucleic acids,Uridine
Nucleic acids,Thymine
Nucleic acids,Cytidine
Nucleic acids,Uracil
Nucleic acids,Adenine
Nucleic acids,Guanosine monophosphate
Nucleic acids,Uridine 5'-monophosphate
Nucleic acids,Deoxyuridine
Nucleic acids,Deoxycytidine
Nucleic acids,ADP
Nucleic acids,Guanosine
Nucleic acids,Uridine 5'-diphosphate
Nucleosides,Adenosine
Nucleosides,Uridine
Nucleosides,Cytidine
Nucleosides,Deoxyuridine
Nucleosides,Deoxycytidine
Nucleosides,Guanosine
Ribonucleosides,Adenosine
Ribonucleosides,Uridine
Ribonucleosides,Cytidine
Ribonucleosides,Guanosine
C00212  Adenosine (A),Adenosine
Glycosides [BR:br08021],Adenosine
Glycosides [BR:br08021],Inosine
Glycosides [BR:br08021],ADP
Glycosides [BR:br08021],Inosinic acid
Glycosides [BR:br08021],Gratiogenin
Glycosides [BR:br08021],Lotaustralin
Glycosides [BR:br08021],Nicotinate D-ribonucleoside
Glycosides [BR:br08021],Linamarin
Glycosides [BR:br08021],Monotropein
Glycosides [BR:br08021],Gynocardin
Glycosides [BR:br08021],Cardiospermin
N-glycosides,Adenosine
N-glycosides,Inosine
N-glycosides,ADP
N-glycosides,Inosinic acid
N-glycosides,Nicotinate D-ribonucleoside
C00212  Adenosine,Adenosine
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00045)],Adenosine
C CARDIOVASCULAR SYSTEM,Adenosine
C CARDIOVASCULAR SYSTEM,Dopamine
C CARDIOVASCULAR SYSTEM,Phosphocreatine
C01 CARDIAC THERAPY,Adenosine
C01 CARDIAC THERAPY,Dopamine
C01 CARDIAC THERAPY,Phosphocreatine
C01E OTHER CARDIAC PREPARATIONS,Adenosine
C01E OTHER CARDIAC PREPARATIONS,Phosphocreatine
C01EB Other cardiac preparations,Adenosine
C01EB Other cardiac preparations,Phosphocreatine
C01EB10 Adenosine,Adenosine
D00045  Adenosine (JAN/USP) &lt;JP/US&gt;,Adenosine
D00045  Adenosine (JAN/USP) &lt;JP/US&gt;,Adenosine
Therapeutic category of drugs in Japan [BR:br08301(D00045)],Adenosine
79  Other agents not mainly for therapeutic purpose,Adenosine
799  Miscellaneous,Adenosine
7990  Miscellaneous,Adenosine
D00045  Adenosine (JAN/USP),Adenosine
Target-based classification of drugs [BR:br08310(D00045)],Adenosine
Adenosine,Adenosine
ADORA,Adenosine
New drug approvals in Japan [br08318.html(D00045)],Adenosine
Drugs with new active ingredients,Adenosine
Drugs with new active ingredients,Carglumic acid
Drugs with new active ingredients,Betaine
Drugs with new active ingredients,N-Acetylneuraminic acid
D00045,Adenosine
Classification of Japanese OTC drugs [BR:br08313(D00121)],Allantoin
Agents for  urogenital organs and anus,Allantoin
30 Hemorrhoid drugs for external use,Allantoin
D00121  Allantoin (JAN/USP),Allantoin
D00121  Allantoin (JAN/USP),Allantoin
D00121  Allantoin (JAN/USP),Allantoin
D00121  Allantoin (JAN/USP),Allantoin
D00121  Allantoin (JAN/USP),Allantoin
Agents for integumentary system,Allantoin
Agents for integumentary system,Glycerol
55 Chilblain and chap remedies,Allantoin
55 Chilblain and chap remedies,Glycerol
"57 Analgesic, antipruritic, astringent, and anti-inflammatory remedies (incl. gel patches)",Allantoin
Risk category of Japanese OTC drugs [BR:br08312(D00121)],Allantoin
Allantoin,Allantoin
FA0105 Hydroxy fatty acids,2-Hydroxyglutaric acid
FA0105 Hydroxy fatty acids,5-Hydroxypentanoic acid
FA0105 Hydroxy fatty acids,4-Hydroxybutyric acid
C02630  2-Hydroxyglutaric acid,2-Hydroxyglutaric acid
C00078  Tryptophan (Trp),Tryptophan
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00020)],Tryptophan
N06 PSYCHOANALEPTICS,Tryptophan
N06 PSYCHOANALEPTICS,Citicoline
N06A ANTIDEPRESSANTS,Tryptophan
N06AX Other antidepressants,Tryptophan
N06AX02 Tryptophan,Tryptophan
D00020  Tryptophan (USP/INN),Tryptophan
D00020  Tryptophan (USP/INN),Tryptophan
Risk category of Japanese OTC drugs [BR:br08312(D00020)],Tryptophan
L-Tryptophan,Tryptophan
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00020)],Tryptophan
D00020  L-Tryptophan,Tryptophan
Others,Xanthine
Others,Xanthosine
Others,Hypoxanthine
Others,Phytuberin
Others,Centarol
Others,Sapelin A
Others,Rishitin
Others,Pisiferic acid
Others,Gratiogenin
Others,alpha-Irone
Purine alkaloids,Xanthine
Purine alkaloids,Xanthosine
Purine alkaloids,Hypoxanthine
C00385  Xanthine,Xanthine
C00299  Uridine (U),Uridine
C00255  Riboflavin (Vitamin B2),Riboflavin
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00050)],Riboflavin
A11HA04 Riboflavin (vit B2),Riboflavin
D00050  Riboflavin (JP18/USP/INN),Riboflavin
D00050  Riboflavin (JP18/USP/INN),Riboflavin
D00050  Riboflavin (JP18/USP/INN),Riboflavin
D00050  Riboflavin (JP18/USP/INN),Riboflavin
D00050  Riboflavin (JP18/USP/INN),Riboflavin
D00050  Riboflavin (JP18/USP/INN),Riboflavin
S SENSORY ORGANS,Riboflavin
S SENSORY ORGANS,Inosine
S SENSORY ORGANS,Acetylcysteine
S01 OPHTHALMOLOGICALS,Riboflavin
S01 OPHTHALMOLOGICALS,Inosine
S01 OPHTHALMOLOGICALS,Acetylcysteine
S01X OTHER OPHTHALMOLOGICALS,Riboflavin
S01X OTHER OPHTHALMOLOGICALS,Inosine
S01X OTHER OPHTHALMOLOGICALS,Acetylcysteine
S01XA Other ophthalmologicals,Riboflavin
S01XA Other ophthalmologicals,Inosine
S01XA Other ophthalmologicals,Acetylcysteine
S01XA26 Riboflavin,Riboflavin
Classification of Japanese OTC drugs [BR:br08313(D00050)],Riboflavin
Nourishing tonics and health supplements,Riboflavin
36 Vitamin B2 based drugs,Riboflavin
40 Vitamin B2B6 based drugs,Riboflavin
43 Vitamin containing supplements,Riboflavin
Risk category of Japanese OTC drugs [BR:br08312(D00050)],Riboflavin
Riboflavin,Riboflavin
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00050)],Riboflavin
D00050  Riboflavin,Riboflavin
D00050  Riboflavin powder,Riboflavin
Alkaloids derived from lysine,Pipecolic acid
Alkaloids derived from lysine,Anibine
Alkaloids derived from lysine,Fagomine
Alkaloids derived from lysine,Slaframine
Piperidine alkaloids,Pipecolic acid
Piperidine alkaloids,Anibine
Piperidine alkaloids,Fagomine
C00408  L-Pipecolate,Pipecolic acid
Bases,Thymine
Bases,Uracil
Bases,Adenine
Pyrimidines,Thymine
Pyrimidines,Uracil
C00178  Thymine (Thy),Thymine
FA0110 Amino fatty acids,5-Aminopentanoic acid
FA0110 Amino fatty acids,gamma-Aminobutyric acid
FA0110 Amino fatty acids,2-Aminoisobutyric acid
FA0110 Amino fatty acids,Norleucine
C00431  5-Aminopentanoic acid,5-Aminopentanoic acid
C00475  Cytidine (C),Cytidine
C00106  Uracil (Ura),Uracil
C01420  Cystine,Cystine
C00294  Inosine,Inosine
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00054)],Inosine
D DERMATOLOGICALS,Inosine
D DERMATOLOGICALS,Azelaic acid
D06 ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,Inosine
D06B CHEMOTHERAPEUTICS FOR TOPICAL USE,Inosine
D06BB Antivirals,Inosine
D06BB05 Inosine,Inosine
D00054  Inosine (JAN/INN),Inosine
D00054  Inosine (JAN/INN),Inosine
D00054  Inosine (JAN/INN),Inosine
G01AX Other antiinfectives and antiseptics,Inosine
G01AX02 Inosine,Inosine
S01XA10 Inosine,Inosine
C00818  D-Glucaric acid,Glucaric acid
Purines,Adenine
C00147  Adenine (Ade),Adenine
Therapeutic category of drugs in Japan [BR:br08301(D00034)],Adenine
4  Agents affecting cellular function,Adenine
4  Agents affecting cellular function,Penicillamine
41  Cellular function activating agents,Adenine
419  Miscellaneous,Adenine
4191  Adenines,Adenine
D00034  Adenine (JAN/USP),Adenine
C01762  Xanthosine,Xanthosine
C00065  Serine (Ser),Serine
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00016)],Serine
D00016  L-Serine,Serine
Nucleotides,Guanosine monophosphate
Nucleotides,Uridine 5'-monophosphate
Nucleotides,ADP
Nucleotides,Uridine 5'-diphosphate
Ribonucleotides,Guanosine monophosphate
Ribonucleotides,Uridine 5'-monophosphate
Ribonucleotides,ADP
Ribonucleotides,Uridine 5'-diphosphate
C00144  GMP,Guanosine monophosphate
Risk category of Japanese OTC drugs [BR:br08312(D00055)],Orotic acid
Orotic acid,Orotic acid
D00055  Orotic acid (JAN),Orotic acid
C00105  UMP,Uridine 5'-monophosphate
FA12 Oxygenated hydrocarbons,Diacetyl
"C00741  2,3-Butanedione",Diacetyl
Deoxyribonucleosides,Deoxyuridine
Deoxyribonucleosides,Deoxycytidine
C00526  Deoxyuridine (dU),Deoxyuridine
C00881  Deoxycytidine (dC),Deoxycytidine
Target-based classification of drugs [BR:br08310(D12465)],Deoxycytidine
Enzymes,Deoxycytidine
Enzymes,Carglumic acid
Transferases (EC2),Deoxycytidine
Phosphotransferase,Deoxycytidine
TK2,Deoxycytidine
D12465  Doxecitine (USAN/INN),Deoxycytidine
Dipeptides,Carnosine
C00386  Carnosine,Carnosine
Cofactors,NAD
Cofactors,Glutathione
Cofactors,UDP-glucose
Coenzymes,NAD
Coenzymes,Glutathione
Coenzymes,UDP-glucose
C00003  NAD,NAD
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00002)],NAD
D00002  Nadide (JAN/USAN/INN),NAD
Sugar alcohols,Glycerol
Sugar alcohols,Mannitol
Sugar alcohols,myo-Inositol
C00116  Glycerol,Glycerol
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00028)],Glycerol
A06 DRUGS FOR CONSTIPATION,Glycerol
A06 DRUGS FOR CONSTIPATION,Mannitol
A06A DRUGS FOR CONSTIPATION,Glycerol
A06A DRUGS FOR CONSTIPATION,Mannitol
A06AG Enemas,Glycerol
A06AG04 Glycerol,Glycerol
D00028  Glycerin (JP18/USP) &lt;JP&gt;,Glycerol
D00028  Glycerin (JP18/USP) &lt;JP&gt;,Glycerol
A06AX Other drugs for constipation,Glycerol
A06AX01 Glycerol,Glycerol
Therapeutic category of drugs in Japan [BR:br08301(D00028)],Glycerol
23  Digestive organ agents,Glycerol
23  Digestive organ agents,Citicoline
23  Digestive organ agents,Ursodeoxycholic acid
"235  Purgatives, clysters",Glycerol
2357  Glycerins,Glycerol
"D00028  Glycerin (JP18/USP); Concentrated glycerin (JP18); Glycerin, concentrated (JAN); Glycerol (INN)",Glycerol
Classification of Japanese OTC drugs [BR:br08313(D00028)],Glycerol
Agents for digestive organs,Glycerol
Agents for digestive organs,Ursodeoxycholic acid
18 Enema,Glycerol
D00028  Glycerin (JP18/USP),Glycerol
D00028  Glycerin (JP18/USP),Glycerol
D00028  Glycerin (JP18/USP),Glycerol
D00028  Glycerin (JP18/USP),Glycerol
Risk category of Japanese OTC drugs [BR:br08312(D00028)],Glycerol
Second-class OTC drugs,Glycerol
Glycerin,Glycerol
Glycerin,Glycerol
93  Agents affecting digestive organs,Glycerol
93  Agents affecting digestive organs,Ursodeoxycholic acid
937  Clysters,Glycerol
9371  Glycerine and preparations,Glycerol
C00116  Glycerine,Glycerol
Drug groups [BR:br08330(D00028)],Glycerol
Gastrointestinal agent,Glycerol
Gastrointestinal agent,Glycerol
Gastrointestinal agent,Ursodeoxycholic acid
DG01770  Laxative,Glycerol
DG01770  Laxative,Glycerol
D00028  Glycerin,Glycerol
D00028  Glycerin,Glycerol
D00028  Glycerin,Glycerol
Drug classes [BR:br08332(D00028)],Glycerol
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00028)],Glycerol
D00028  Concentrated glycerin,Glycerol
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D07130)],Carglumic acid
A16 OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Carglumic acid
A16 OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Betaine
A16A OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Carglumic acid
A16A OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Betaine
A16AA Amino acids and derivatives,Carglumic acid
A16AA Amino acids and derivatives,Betaine
A16AA05 Carglumic acid,Carglumic acid
D07130  Carglumic acid (JAN/USAN/INN) &lt;JP/US&gt;,Carglumic acid
D07130  Carglumic acid (JAN/USAN/INN) &lt;JP/US&gt;,Carglumic acid
USP drug classification [BR:br08302(D07130)],Carglumic acid
Electrolytes/Minerals/Metals/Vitamins,Carglumic acid
Electrolytes/Minerals/Metals/Vitamins,Penicillamine
Electrolyte/ Mineral Replacement,Carglumic acid
Carglumic  Acid,Carglumic acid
D07130  Carglumic acid (JAN/USAN/INN),Carglumic acid
D07130  Carglumic acid (JAN/USAN/INN),Carglumic acid
Therapeutic category of drugs in Japan [BR:br08301(D07130)],Carglumic acid
399  Miscellaneous,Carglumic acid
399  Miscellaneous,Betaine
3999  Others,Carglumic acid
3999  Others,Betaine
Target-based classification of drugs [BR:br08310(D07130)],Carglumic acid
Ligases (EC6),Carglumic acid
Carbamoyl-phosphate synthase,Carglumic acid
CPS1,Carglumic acid
New drug approvals in the USA [br08319.html(D07130)],Carglumic acid
New molecular entities and new therapeutic biological products,Carglumic acid
New molecular entities and new therapeutic biological products,Benzyl alcohol
D07130,Carglumic acid
D07130,Carglumic acid
D07130,Carglumic acid
D07130,Carglumic acid
D07130,Carglumic acid
New drug approvals in Europe [br08329.html(D07130)],Carglumic acid
European public assessment reports (EPAR) authorised medicine,Carglumic acid
European public assessment reports (EPAR) authorised medicine,Betaine
European public assessment reports (EPAR) authorised medicine,Mannitol
European public assessment reports (EPAR) authorised medicine,Dopa
New drug approvals in Japan [br08318.html(D07130)],Carglumic acid
"New drug approvals in the USA, Europe and Japan [br08328.html(D07130)]",Carglumic acid
"Approval dates by FDA, EMA and PMDA",Carglumic acid
"Approval dates by FDA, EMA and PMDA",Benzyl alcohol
"Approval dates by FDA, EMA and PMDA",Betaine
"Approval dates by FDA, EMA and PMDA",N-Acetylneuraminic acid
Pharmacogenomic biomarkers [br08341.html(D07130)],Carglumic acid
Germline mutations in genetic disorder treatments,Carglumic acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00077)],Benzyl alcohol
"P ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",Benzyl alcohol
"P03 ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",Benzyl alcohol
"P03A ECTOPARASITICIDES, INCL. SCABICIDES",Benzyl alcohol
"P03AX Other ectoparasiticides, incl. scabicides",Benzyl alcohol
P03AX06 Benzyl alcohol,Benzyl alcohol
D00077  Benzyl alcohol (JP18/NF/INN),Benzyl alcohol
D00077  Benzyl alcohol (JP18/NF/INN),Benzyl alcohol
Risk category of Japanese OTC drugs [BR:br08312(D00077)],Benzyl alcohol
Benzyl alcohol,Benzyl alcohol
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00077)],Benzyl alcohol
D00077  Benzyl alcohol,Benzyl alcohol
New drug approvals in the USA [br08319.html(D00077)],Benzyl alcohol
D00077,Benzyl alcohol
D00077,Benzyl alcohol
"New drug approvals in the USA, Europe and Japan [br08328.html(D00077)]",Benzyl alcohol
Monocarboxylic acids,Caprylic acid
Monocarboxylic acids,Butyric acid
C06423  Caprylate; Octanoate,Caprylic acid
Lipids,Caprylic acid
Lipids,Palmitic acid
Lipids,Docosahexaenoic acid
Lipids,Stearic acid
Lipids,Palmitoleic acid
Lipids,Myristic acid
Lipids,Eicosenoic acid
Lipids,Dodecanoic acid
Lipids,Icosadienoic acid
Lipids,Butyric acid
Lipids,Arachidic acid
Fatty acids,Caprylic acid
Fatty acids,Caprylic acid
Fatty acids,Palmitic acid
Fatty acids,Palmitic acid
Fatty acids,Docosahexaenoic acid
Fatty acids,Stearic acid
Fatty acids,Stearic acid
Fatty acids,Palmitoleic acid
Fatty acids,Palmitoleic acid
Fatty acids,Myristic acid
Fatty acids,Myristic acid
Fatty acids,Eicosenoic acid
Fatty acids,Dodecanoic acid
Fatty acids,Dodecanoic acid
Fatty acids,Icosadienoic acid
Fatty acids,Butyric acid
Fatty acids,Butyric acid
Fatty acids,Arachidic acid
Fatty acids,Arachidic acid
Saturated fatty acids,Caprylic acid
Saturated fatty acids,Caprylic acid
Saturated fatty acids,Palmitic acid
Saturated fatty acids,Palmitic acid
Saturated fatty acids,Stearic acid
Saturated fatty acids,Stearic acid
Saturated fatty acids,Myristic acid
Saturated fatty acids,Myristic acid
Saturated fatty acids,Dodecanoic acid
Saturated fatty acids,Dodecanoic acid
Saturated fatty acids,Butyric acid
Saturated fatty acids,Butyric acid
Saturated fatty acids,Arachidic acid
Saturated fatty acids,Arachidic acid
C06423  Caprylic acid (8:0),Caprylic acid
FA0101 Straight chain fatty acids,Caprylic acid
FA0101 Straight chain fatty acids,Palmitic acid
FA0101 Straight chain fatty acids,Stearic acid
FA0101 Straight chain fatty acids,Myristic acid
FA0101 Straight chain fatty acids,Dodecanoic acid
FA0101 Straight chain fatty acids,Butyric acid
FA0101 Straight chain fatty acids,Arachidic acid
FA0101 Straight chain fatty acids,Undecanoic acid
FA0101 Straight chain fatty acids,Tridecanoic acid
C06423  Octanoic acid,Caprylic acid
C06423  Octanoic acid,Caprylic acid
Fatty acids related compounds,Caprylic acid
Fatty acids related compounds,Palmitic acid
Fatty acids related compounds,Stearic acid
Fatty acids related compounds,Palmitoleic acid
Fatty acids related compounds,Myristic acid
Fatty acids related compounds,Dodecanoic acid
Fatty acids related compounds,Butyric acid
Fatty acids related compounds,Arachidic acid
C00209  Oxalate,Oxalic acid
C00008  ADP,ADP
C00008  ADP,ADP
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00057)],Citicoline
"N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",Citicoline
N06BX Other psychostimulants and nootropics,Citicoline
N06BX06 Citicoline,Citicoline
D00057  Citicoline (JP18/INN) &lt;JP&gt;,Citicoline
Therapeutic category of drugs in Japan [BR:br08301(D00057)],Citicoline
D00057  Citicoline (JP18/INN),Citicoline
D00057  Citicoline (JP18/INN),Citicoline
239  Miscellaneous,Citicoline
2399  Others,Citicoline
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00057)],Citicoline
D00057  Citicoline,Citicoline
C00130  IMP,Inosinic acid
C00250  Pyridoxal (Vitamin B6),Pyridoxal
Pyridoxine hydrochloride,Pyridoxal
C00250  Pyridoxal,Pyridoxal
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00221)],Acetylcysteine
R RESPIRATORY SYSTEM,Acetylcysteine
R RESPIRATORY SYSTEM,Mannitol
R05 COUGH AND COLD PREPARATIONS,Acetylcysteine
R05 COUGH AND COLD PREPARATIONS,Mannitol
"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Acetylcysteine
"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Mannitol
R05CB Mucolytics,Acetylcysteine
R05CB Mucolytics,Mannitol
R05CB01 Acetylcysteine,Acetylcysteine
D00221  Acetylcysteine (JP18/USP/INN) &lt;JP/US&gt;,Acetylcysteine
D00221  Acetylcysteine (JP18/USP/INN) &lt;JP/US&gt;,Acetylcysteine
D00221  Acetylcysteine (JP18/USP/INN) &lt;JP/US&gt;,Acetylcysteine
S01XA08 Acetylcysteine,Acetylcysteine
V03 ALL OTHER THERAPEUTIC PRODUCTS,Acetylcysteine
V03 ALL OTHER THERAPEUTIC PRODUCTS,Methionine
V03 ALL OTHER THERAPEUTIC PRODUCTS,Glutathione
V03A ALL OTHER THERAPEUTIC PRODUCTS,Acetylcysteine
V03A ALL OTHER THERAPEUTIC PRODUCTS,Methionine
V03A ALL OTHER THERAPEUTIC PRODUCTS,Glutathione
V03AB Antidotes,Acetylcysteine
V03AB Antidotes,Methionine
V03AB Antidotes,Glutathione
V03AB23 Acetylcysteine,Acetylcysteine
USP drug classification [BR:br08302(D00221)],Acetylcysteine
Respiratory Tract/Pulmonary Agents,Acetylcysteine
Respiratory Tract/Pulmonary Agents,Mannitol
"Respiratory Tract Agents, Other",Acetylcysteine
Immunomodulators,Acetylcysteine
Acetylcysteine,Acetylcysteine
D00221  Acetylcysteine (JP18/USP/INN),Acetylcysteine
D00221  Acetylcysteine (JP18/USP/INN),Acetylcysteine
D00221  Acetylcysteine (JP18/USP/INN),Acetylcysteine
D00221  Acetylcysteine (JP18/USP/INN),Acetylcysteine
Therapeutic category of drugs in Japan [BR:br08301(D00221)],Acetylcysteine
22  Respiratory organ agents,Acetylcysteine
223  Expectorants,Acetylcysteine
2233  Cysteines,Acetylcysteine
26  Epidermides,Acetylcysteine
269  Miscellaneous,Acetylcysteine
2699  Others,Acetylcysteine
392  Antidotes,Acetylcysteine
392  Antidotes,Glutathione
392  Antidotes,Penicillamine
3929  Others,Acetylcysteine
3929  Others,Penicillamine
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00221)],Acetylcysteine
D00221  Acetylcysteine,Acetylcysteine
C00387  Guanosine (G),Guanosine
C08261  Nonanedioic acid,Azelaic acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D03034)],Azelaic acid
D10 ANTI-ACNE PREPARATIONS,Azelaic acid
