sample-id	body-site	year	month	day	subject	Antibiotic	Days_since_infection	Infection_status	light	all_group	Run
#q2:types	categorical	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	categorical	categorical
T282B1BL	bacteria in colon/faeces	2024	8	19	subject_1	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282B2BL	bacteria in colon/faeces	2024	8	19	subject_2	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282B3BL	bacteria in colon/faeces	2024	8	19	subject_3	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282B4BL	bacteria in colon/faeces	2024	8	19	subject_4	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282B5BL	bacteria in colon/faeces	2024	8	19	subject_5	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282E1BL	bacteria in colon/faeces	2024	8	19	subject_6	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282E3BL	bacteria in colon/faeces	2024	8	19	subject_7	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282E4BL	bacteria in colon/faeces	2024	8	19	subject_8	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282E5BL	bacteria in colon/faeces	2024	8	19	subject_9	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282G1BL	bacteria in colon/faeces	2024	8	19	subject_10	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282G2BL	bacteria in colon/faeces	2024	8	19	subject_11	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282G3BL	bacteria in colon/faeces	2024	8	19	subject_12	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282G4BL	bacteria in colon/faeces	2024	8	19	subject_13	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282G5BL	bacteria in colon/faeces	2024	8	19	subject_14	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282F1BL	bacteria in colon/faeces	2024	8	19	subject_15	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282F2BL	bacteria in colon/faeces	2024	8	19	subject_16	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282F3BL	bacteria in colon/faeces	2024	8	19	subject_17	No	-14	Uninfected	Baseline	Uninfected_Baseline_-14_No	Run2
T282B1d0	bacteria in colon/faeces	2024	9	2	subject_1	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282B2d0	bacteria in colon/faeces	2024	9	2	subject_2	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282B3d0	bacteria in colon/faeces	2024	9	2	subject_3	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282B4d0	bacteria in colon/faeces	2024	9	2	subject_4	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282B5d0	bacteria in colon/faeces	2024	9	2	subject_5	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282E1d0	bacteria in colon/faeces	2024	9	2	subject_6	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282E3d0	bacteria in colon/faeces	2024	9	2	subject_7	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282E4d0	bacteria in colon/faeces	2024	9	2	subject_8	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282E5d0	bacteria in colon/faeces	2024	9	2	subject_9	Yes	0	Uninfected	Constantlight	Uninfected_Constantlight_0_Yes	Run2
T282G1d0	bacteria in colon/faeces	2024	9	2	subject_10	Yes	0	Uninfected	Typicallight	Uninfected_Typicallight_0_Yes	Run2
T282G2d0	bacteria in colon/faeces	2024	9	2	subject_11	Yes	0	Uninfected	Typicallight	Uninfected_Typicallight_0_Yes	Run2
T282G3d0	bacteria in colon/faeces	2024	9	2	subject_12	Yes	0	Uninfected	Typicallight	Uninfected_Typicallight_0_Yes	Run2
T282G4d0	bacteria in colon/faeces	2024	9	2	subject_13	Yes	0	Uninfected	Typicallight	Uninfected_Typicallight_0_Yes	Run2
T282G5d0	bacteria in colon/faeces	2024	9	2	subject_14	Yes	0	Uninfected	Typicallight	Uninfected_Typicallight_0_Yes	Run2
T282F1d0	bacteria in colon/faeces	2024	9	2	subject_15	Yes	0	Uninfected	Typicallight	Uninfected_Typicallight_0_Yes	Run2
